pen,treatment,pignum,,,,,,,,,,,,,,,,,,
16,Control,76,,,,,,,,,,,,,,,,,,
16,Control,77,,,,,,,,,,,,,,,,,,
16,Control,78,,,,,,,,,,,,,,,,,,
16,Control,79,,,,,,,,,,,,,,,,,,
16,Control,80,,,,,,,,,,,,,,,,,,
18,Control,86,,,,,,,,,,,,,,,,,,
18,Control,87,,,,,,,,,,,,,,,,,,
18,Control,88,,,,,,,,,,,,,,,,,,
18,Control,89,,,,,,,,,,,,,,,,,,
18,Control,90,,,,,,,,,,,,,,,,,,
25,Control,121,,,,,,,,,,,,,,,,,,
25,Control,122,,,,,,,,,,,,,,,,,,
25,Control,123,,,,,,,,,,,,,,,,,,
25,Control,124,,,,,,,,,,,,,,,,,,
25,Control,125,,,,,,,,,,,,,,,,,,
32,Control,156,,,,,,,,,,,,,,,,,,
32,Control,157,,,,,,,,,,,,,,,,,,
32,Control,158,,,,,,,,,,,,,,,,,,
32,Control,159,,,,,,,,,,,,,,,,,,
32,Control,160,,,,,,,,,,,,,,,,,,
39,Control,191,,,,,,,,,,,,,,,,,,
39,Control,192,,,,,,,,,,,,,,,,,,
39,Control,193,,,,,,,,,,,,,,,,,,
39,Control,194,,,,,,,,,,,,,,,,,,
39,Control,195,,,,,,,,,,,,,,,,,,
45,Control,221,,,,,,,,,,,,,,,,,,
45,Control,222,,,,,,,,,,,,,,,,,,
45,Control,223,,,,,,,,,,,,,,,,,,
45,Control,224,,,,,,,,,,,,,,,,,,
45,Control,225,,,,,,,,,,,,,,,,,,
68,Control,336,,,,,,,,,,,,,,,,,,
68,Control,337,,,,,,,,,,,,,,,,,,
68,Control,338,,,,,,,,,,,,,,,,,,
68,Control,339,,,,,,,,,,,,,,,,,,
68,Control,340,,,,,,,,,,,,,,,,,,
69,Control,341,,,,,,,,,,,,,,,,,,
69,Control,342,,,,,,,,,,,,,,,,,,
69,Control,343,,,,,,,,,,,,,,,,,,
69,Control,344,,,,,,,,,,,,,,,,,,
