pignum,treatment,tissue,Salmonella
77,control,cecal_cont,20
87,control,cecal_cont,11600
122,control,cecal_cont,2400
160,control,cecal_cont,260
191,control,cecal_cont,20
224,control,cecal_cont,260
337,control,cecal_cont,3800
345,control,cecal_cont,20
419,control,cecal_cont,640
458,control,cecal_cont,1220
50,RPS,cecal_cont,40
93,RPS,cecal_cont,200
97,RPS,cecal_cont,20
101,RPS,cecal_cont,NA
181,RPS,cecal_cont,120
244,RPS,cecal_cont,180
321,RPS,cecal_cont,60
355,RPS,cecal_cont,320
373,RPS,cecal_cont,0
392,RPS,cecal_cont,0
26,Acid,cecal_cont,120
52,Acid,cecal_cont,4000
126,Acid,cecal_cont,0
152,Acid,cecal_cont,0
178,Acid,cecal_cont,20
211,Acid,cecal_cont,0
348,Acid,cecal_cont,80
361,Acid,cecal_cont,0
378,Acid,cecal_cont,0
426,Acid,cecal_cont,80
74,Zn+Cu,cecal_cont,100
83,Zn+Cu,cecal_cont,80
219,Zn+Cu,cecal_cont,520
265,Zn+Cu,cecal_cont,360
295,Zn+Cu,cecal_cont,220
326,Zn+Cu,cecal_cont,360
422,Zn+Cu,cecal_cont,580
432,Zn+Cu,cecal_cont,20
450,Zn+Cu,cecal_cont,0
472,Zn+Cu,cecal_cont,60
22,RCS,cecal_cont,40
43,RCS,cecal_cont,20
65,RCS,cecal_cont,160
119,RCS,cecal_cont,180
138,RCS,cecal_cont,620
175,RCS,cecal_cont,0
198,RCS,cecal_cont,40
397,RCS,cecal_cont,20
453,RCS,cecal_cont,100
469,RCS,cecal_cont,900
6,Bglu,cecal_cont,1500
144,Bglu,cecal_cont,1720
228,Bglu,cecal_cont,100
240,Bglu,cecal_cont,0
253,Bglu,cecal_cont,0
461,Bglu,cecal_cont,0
8,Bglu,cecal_cont,0
141,Bglu,cecal_cont,0
226,Bglu,cecal_cont,0
237,Bglu,cecal_cont,240
77,control,IPP,0
87,control,IPP,0
122,control,IPP,20
160,control,IPP,20
191,control,IPP,0
224,control,IPP,0
337,control,IPP,0
345,control,IPP,0
419,control,IPP,0
458,control,IPP,20
50,RPS,IPP,0
93,RPS,IPP,0
97,RPS,IPP,0
101,RPS,IPP,NA
181,RPS,IPP,180
244,RPS,IPP,0
321,RPS,IPP,0
355,RPS,IPP,0
373,RPS,IPP,0
392,RPS,IPP,0
26,Acid,IPP,0
52,Acid,IPP,160
126,Acid,IPP,0
152,Acid,IPP,0
178,Acid,IPP,0
211,Acid,IPP,0
348,Acid,IPP,0
361,Acid,IPP,0
378,Acid,IPP,0
426,Acid,IPP,0
74,Zn+Cu,IPP,100
83,Zn+Cu,IPP,0
219,Zn+Cu,IPP,20
265,Zn+Cu,IPP,20
295,Zn+Cu,IPP,0
