pignum,treatment,hour,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate,total
74,Zn+Cu,0,85.37652,53.346959999999996,0.34857,17.21538,0.43029,3.2877,0.42350999999999994,0.19835999999999998,0.19638,0.41811,0.42555,161.66733
74,Zn+Cu,24,123.01151999999999,96.53571,2.06307,45.782610000000005,3.24828,15.186,1.19835,0,0.70929,2.2719300000000002,0,290.00676
77,control,0,74.00082,40.39434,0.27087,16.999290000000002,0.40179,2.9179500000000003,0.36828,0.19980000000000003,0.16101000000000001,0.60624,0,136.32038999999997
77,control,24,124.1532,93.50403,2.29413,56.466539999999995,3.7460999999999998,18.379830000000002,1.47888,0,0.74367,1.81128,0,302.57766
83,Zn+Cu,0,70.92363,38.51643,0.46074,13.149810000000002,0.69162,3.5697,0.44723999999999997,0,0.13053,0.31745999999999996,1.3446599999999997,129.55182
83,Zn+Cu,24,133.19387999999998,93.42330000000001,1.9913699999999999,46.43589,2.96619,14.27457,0.75387,0,0.5481,1.21776,0,294.80493
65,RCS,0,96.47352000000001,45.16419,0.36537,20.75727,0.33282,3.77064,0.46563,0.28641,0.13818,0.5236799999999999,0.70029,168.978
65,RCS,24,149.1276,90.73806,1.75128,75.61731,3.13431,27.316919999999996,1.5915899999999998,0,0.43146,7.976789999999999,0.37272,358.05804
43,RCS,24,149.47431,112.34846999999999,2.31921,71.92698,3.67026,28.313129999999997,4.45899,0,0.50295,2.06793,0,375.08223
50,RPS,0,95.56272,60.821940000000005,0.65292,22.17693,0.57312,4.5033,0.48774,0,0.16254,0.59826,0.34782,185.88729
50,RPS,24,125.83596,90.94395,3.9440999999999997,78.26091,7.11642,38.64621,2.40105,0,0.52416,1.55655,0,349.22931000000005
52,Acid,0,76.16973,41.083980000000004,0.41148,15.002580000000002,0.39381,2.77431,0.55824,0.66351,0.16353,0.43065000000000003,1.6598100000000002,139.31163
52,Acid,24,169.00194,121.79420999999999,2.29698,82.88685,4.06803,28.64946,1.8165,0,0.51645,1.26417,0,412.29459
26,Acid,24,145.26201,100.70886,2.75532,74.35905,4.85901,23.27142,1.34673,0,0.49629,10.97091,0,364.02959999999996
43,RCS,0,85.84647000000001,40.82817,0.46797,24.39369,0.46554000000000006,5.11386,0.8884799999999999,0.26706,0.14478,0.777,0.7621800000000001,159.95520000000002
22,RCS,0,76.26456,35.884769999999996,0.24042000000000002,31.682850000000002,0,9.448139999999999,0.76296,0.23922000000000002,0.25524,0.90819,12.164670000000001,167.85102
22,RCS,24,123.43272000000002,91.30437,1.8225000000000002,78.07905,3.1888799999999997,33.633,2.57952,0,0.28569,0.61746,0,334.94319
26,Acid,0,91.33215,48.36816,0.6229199999999999,20.72565,0.5410200000000001,3.0130500000000002,0.43809,0.22098,0.2676,0.8005200000000001,0.9888899999999999,167.31903
6,Bglu,24,147.70941,109.39005,3.1231800000000005,75.61221,5.06103,22.76346,1.88709,0,0.63957,1.96245,0,368.14845
8,Bglu,0,86.75814,48.099630000000005,0.23352,27.123960000000004,0.21357,8.12175,0.7389,0.41739000000000004,0.14949,0.65415,0.44316,172.95366
8,Bglu,24,131.87586000000002,103.01448,2.814,74.63349,4.7691,35.84328,2.92698,0,0.29058,0.8073600000000001,0,356.97513000000004
