pairs	F.Model	R2	p.value	p.adjusted	day	tissue	treatment	p.fdr	p.fdr.lab
0 feces Control vs 0 feces low	3.4407093143371443	0.20927985821978307	0.0011	0.0011	0	feces	low	0.009	0.009
0 feces Control vs 0 feces high	1.4036766198066724	0.1131661734525735	0.1205	0.1205	0	feces	high	0.138	NA
2 feces Control vs 2 feces high	1.5204458299987709	0.11245530281444197	0.1073	0.1073	2	feces	high	0.132	NA
2 feces Control vs 2 feces low	3.5889481483433627	0.23022388131586413	0.0032	0.0032	2	feces	low	0.009	0.009
7 feces Control vs 7 feces low	4.027795762957698	0.23654240507862875	0.0022	0.0022	7	feces	low	0.009	0.009
7 feces Control vs 7 feces high	1.2319331437591656	0.09310303569212079	0.2093	0.2093	7	feces	high	0.209	NA
14 feces Control vs 14 feces low	3.7767557532405007	0.22511836071232094	0.0027	0.0027	14	feces	low	0.009	0.009
14 feces Control vs 14 feces high	1.2870949891167316	0.09686805055363663	0.1783	0.1783	14	feces	high	0.19	NA
21 cec_cont Control vs 21 cec_cont low	3.163254538052471	0.19570653488165726	0.0037	0.0037	21	cec_cont	low	0.009	0.009
21 cec_cont Control vs 21 cec_cont high	1.7583776303000929	0.12780414068789733	0.0746	0.0746	21	cec_cont	high	0.099	NA
21 feces Control vs 21 feces low	2.6424410285096034	0.16892766440311602	0.0045	0.0045	21	feces	low	0.009	0.009
21 feces Control vs 21 feces high	1.9223055172450545	0.1380737920787591	0.0448	0.0448	21	feces	high	0.072	NA
21 cec_muc Control vs 21 cec_muc low	3.5612190298775377	0.2150336290736124	9e-4	9e-4	21	cec_muc	low	0.009	0.009
21 cec_muc Control vs 21 cec_muc high	2.5151541207710304	0.1732778102005732	0.0132	0.0132	21	cec_muc	high	0.023	0.023
21 il_muc Control vs 21 il_muc low	2.3866923364035446	0.1926819744597384	0.0046	0.0046	21	il_muc	low	0.009	0.009
21 il_muc Control vs 21 il_muc high	1.580902761551931	0.13650945820911786	0.0562	0.0562	21	il_muc	high	0.082	NA
