OTU	pident	title	genus	species
Otu00001	100	Prevotella copri	Prevotella	copri
Otu00002	100	Megasphaera elsdenii	Megasphaera	elsdenii
Otu00003	100	Phascolarctobacterium succinatutens	Phascolarctobacterium	succinatutens
Otu00004	97.233	Prevotella copri	Prevotella	copri
Otu00005	100	Selenomonas bovis	Selenomonas	bovis
Otu00006	97.619	Propionispira arcuata	Propionispira	arcuata
Otu00007	100	Streptococcus pasteurianus	Streptococcus	pasteurianus
Otu00008	100	Lactobacillus ultunensis	Lactobacillus	ultunensis
Otu00011	98.024	Prevotella stercorea	Prevotella	stercorea
Otu00014	99.603	Acidaminococcus fermentans	Acidaminococcus	fermentans
Otu00015	100	Gemmiger formicilis	Gemmiger	formicilis
Otu00016	100	Escherichia marmotae	Escherichia	marmotae
Otu00017	100	Roseburia faecis	Roseburia	faecis
Otu00019	99.605	Faecalibacterium prausnitzii	Faecalibacterium	prausnitzii
Otu00020	98.016	Anaerovibrio lipolyticus	Anaerovibrio	lipolyticus
Otu00022	100	Methanobrevibacter smithii	Methanobrevibacter	smithii
Otu00024	97.619	Selenomonas bovis	Selenomonas	bovis
Otu00027	100	Collinsella aerofaciens	Collinsella	aerofaciens
Otu00029	100	Campylobacter coli	Campylobacter	coli
Otu00030	100	Blautia wexlerae	Blautia	wexlerae
Otu00032	94.882	Butyricicoccus pullicaecorum	Butyricicoccus	pullicaecorum
Otu00033	93.307	Oscillibacter ruminantium	Oscillibacter	ruminantium
Otu00036	100	Methanosphaera stadtmanae	Methanosphaera	stadtmanae
Otu00037	97.233	Clostridium saudiense	Clostridium	saudiense
Otu00038	99.606	Methanobrevibacter millerae	Methanobrevibacter	millerae
Otu00041	97.628	Prevotella stercorea	Prevotella	stercorea
Otu00042	99.605	Treponema porcinum	Treponema	porcinum
Otu00043	100	Lactobacillus caviae	Lactobacillus	caviae
Otu00045	97.233	Succinivibrio dextrinosolvens	Succinivibrio	dextrinosolvens
Otu00046	94.466	Prevotella multisaccharivorax	Prevotella	multisaccharivorax
Otu00048	100	Coprococcus comes	Coprococcus	comes
